part_name,part_number,price_usd,product_url,description_html,tags,category
Samsung DB39-01263A Connect Wire-External,DB39-01263A,22.95,https://samsungparts.com/products/db39-01263a,"<p>This genuine Samsung DB39-01263A CONNECT WIRE-EXTERNAL is the perfect replacement for your existing unit. Crafted with high-quality materials, this external wire connection offers reliable performance and long-lasting durability. With its sleek design and easy installation, this part will provide a seamless integration into your device without any hassle. It is a must-have for anyone who wants to keep their device running smoothly and efficiently. Get the best quality with Samsung Parts today!</p>",gmc;havingImg;subcate:Air Conditioner;types:Connector;webcat:Connector,Air Conditioner
Samsung DB63-02758F Filter Air-Pre,DB63-02758F,50.95,https://samsungparts.com/products/db63-02758f,<p>Samsung DB63-02758F Filter Air-Pre</p>,subcate:Air Conditioner;types:FILTER;webcat:FILTER,Air Conditioner
Samsung DB63-04223A Cover Panel,DB63-04223A,72.95,https://samsungparts.com/products/db63-04223a,<p>Samsung DB63-04223A Cover Panel</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB94-00066A Assembly Bearing,DB94-00066A,41.95,https://samsungparts.com/products/db94-00066a,<p>Samsung DB94-00066A Assembly Bearing</p>,gmc;havingImg;subcate:Air Conditioner;types:Bearing;webcat:Bearing,Air Conditioner
Samsung DB67-01166A Pump Drain,DB67-01166A,147.95,https://samsungparts.com/products/db67-01166a,<p>Samsung DB67-01166A Pump Drain</p>,subcate:Air Conditioner;types:Pump;webcat:Pump,Air Conditioner
Samsung DB31-00665A Motor Ac Fan,DB31-00665A,143.95,https://samsungparts.com/products/db31-00665a,<p>Samsung DB31-00665A Motor Ac Fan</p>,gmc;havingImg;NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
"Samsung DB92-04839A Assembly Pcb Main;Main,Qmd Rac",DB92-04839A,225.95,https://samsungparts.com/products/db92-04839a,"<p>ASSEMBLY PCB MAIN;MAIN,QMD RAC</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB92-02861A Assembly Module,DB92-02861A,134.95,https://samsungparts.com/products/db92-02861a,"<p>This Samsung DB92-02861A ASSEMBLY MODULE is a genuine Original Replacement part. Carefully crafted with premium components, this durable module is designed to work perfectly with your device, giving you the same smooth performance and reliability you've come to expect from Samsung products. Enjoy enhanced features, plus a level of precision and reliability that comes with every Original Replacement part.</p>",subcate:Air Conditioner;types:Module;webcat:Module,Air Conditioner
Samsung DB91-00317C Assembly Drain Pan,DB91-00317C,141.95,https://samsungparts.com/products/db91-00317c,<p>Samsung DB91-00317C Assembly Drain Pan</p>,subcate:Air Conditioner;webcat:,Air Conditioner
Samsung DB92-02779A Pcb Assembly Display,DB92-02779A,105.95,https://samsungparts.com/products/db92-02779a,<p>PCB ASSEMBLY DISPLAY</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB95-05071A Assembly Thermistor Out,DB95-05071A,133.95,https://samsungparts.com/products/db95-05071a,<p>Samsung DB95-05071A Assembly Thermistor Out</p>,subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB94-00119A Assembly Fan Cross,DB94-00119A,116.95,https://samsungparts.com/products/db94-00119a,<p>Samsung DB94-00119A Assembly Fan Cross</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB92-04216A Pcb Assembly Sub,DB92-04216A,123.95,https://samsungparts.com/products/db92-04216a,<p>PCB ASSEMBLY SUB</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB93-14643R Assembly Wireless Remote Contr,DB93-14643R,87.95,https://samsungparts.com/products/db93-14643r,<p>Samsung DB93-14643R Assembly Wireless Remote Contr</p>,NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:Remote Control;webcat:Remote Control,Air Conditioner
Samsung DB62-11206A Valve Coil Expan,DB62-11206A,115.95,https://samsungparts.com/products/db62-11206a,<p>Samsung DB62-11206A Valve Coil Expan</p>,subcate:Air Conditioner;types:VALVE;webcat:VALVE,Air Conditioner
Samsung DB63-01765F Guard-Air Filter,DB63-01765F,87.95,https://samsungparts.com/products/db63-01765f,<p>Samsung DB63-01765F Guard-Air Filter</p>,gmc;havingImg;subcate:Air Conditioner;types:FILTER;webcat:FILTER,Air Conditioner
Samsung DB95-05164A Assembly Thermistor Out,DB95-05164A,88.95,https://samsungparts.com/products/db95-05164a,<p>Samsung DB95-05164A Assembly Thermistor Out</p>,gmc;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB67-00243A Fan Propeller,DB67-00243A,114.95,https://samsungparts.com/products/db67-00243a,<p>Samsung DB67-00243A Fan Propeller</p>,subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
Samsung DB95-05011C Assembly Thermistor In,DB95-05011C,67.95,https://samsungparts.com/products/db95-05011c,<p>Samsung DB95-05011C Assembly Thermistor In</p>,gmc;havingImg;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB95-01990F Assembly Thermistor In,DB95-01990F,85.95,https://samsungparts.com/products/db95-01990f,"<p>The Samsung DB95-01990F Assembly Thermistor In is designed to ensure optimal performance and reliability in any application making it a great addition to any home or office environment. With its superior build quality, you can trust that this thermistor will provide a long-lasting, reliable performance. It features Samsung's original part technology so you can be certain that it meets the highest standards. The thermistor also includes a genuine replacement part option, allowing for easy installation and repair of existing components with minimal effort. With its contemporary design and trusted brand name, you can count on the Samsung DB95-01990F Assembly Thermistor In to provide top-notch performance.</p>",subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB32-00239A Sensor Temp,DB32-00239A,69.95,https://samsungparts.com/products/db32-00239a,<p>Samsung DB32-00239A Sensor Temp</p>,subcate:Air Conditioner;types:SENSOR;webcat:SENSOR,Air Conditioner
Samsung DB92-02867K Main Pcb Assembly,DB92-02867K,411.95,https://samsungparts.com/products/db92-02867k,<p>MAIN PCB ASSEMBLY</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB93-06543K Assembly Bldc Driver,DB93-06543K,242.95,https://samsungparts.com/products/db93-06543k,<p>ASSEMBLY BLDC DRIVER</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB96-09600A Evaperater Asseembly Unit,DB96-09600A,374.95,https://samsungparts.com/products/db96-09600a,<p>Samsung DB96-09600A Evaperater Asseembly Unit</p>,subcate:Air Conditioner;types:Evaporator;webcat:Evaporator,Air Conditioner
Samsung DB92-02829A Assembly Kit,DB92-02829A,324.95,https://samsungparts.com/products/db92-02829a,"<p>Get your hands on this superior assembly kit, made with quality materials and craftsmanship. This Samsung DB92-02829A ASSEMBLY KIT allows you to upgrade your device with ease. It comes with a full compliment of genuine, original parts to ensure that you have the best replacement and upgrade available. Sturdy and reliable, this kit is designed to last, delivering top-notch performance time after time. For those who need reliable and powerful replacement or upgrade parts that won't disappoint - trust Samsung Part with Original Part, Replacement part, Genuine Part Branding.</p>",gmc;havingImg;subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB93-07112U Main Pcb Assembly-Out,DB93-07112U,515.95,https://samsungparts.com/products/db93-07112u,"<p>This Samsung DB93-07112U Room Air Conditioner Electronic Control Board Assembly is a replacement part, ensuring the same high performance and genuine quality as the original. With this new assembly, you get reliable performance and an eye-catching design. It's easy to install and built with the highest standards of quality, so you can feel confident in its long lasting durability. Get a better control of your temperature without sacrificing style when you use this Samsung Part with Original Part.</p>",gmc;havingImg;subcate:Air Conditioner;types:MAIN PCB;webcat:MAIN PCB,Air Conditioner
Samsung DB92-02876A Pcb Assembly Display,DB92-02876A,52.95,https://samsungparts.com/products/db92-02876a,<p>PCB ASSEMBLY DISPLAY</p>,gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB61-00204A Holder-Remote Control,DB61-00204A,11.95,https://samsungparts.com/products/db61-00204a,<p>Samsung DB61-00204A Holder-Remote Control</p>,gmc;havingImg;subcate:Air Conditioner;types:Holder;webcat:Holder,Air Conditioner
Samsung DB92-02873E Main Pcb Assembly,DB92-02873E,173.95,https://samsungparts.com/products/db92-02873e,"<p>This Samsung DB92-02873E MAIN PCB ASSEMBLY is a genuine part from Samsung, designed to keep your device running optimally. This replacement part has been thoroughly tested and certified to provide reliable performance and durability. With this part you can expect superior quality, reliability and performance for your device. No need to settle for anything less than the best with this original Samsung product. Get the most out of your device with this high quality replacement part from Samsung Parts.</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB92-03310H Assembly Pcb Main-Out,DB92-03310H,154.95,https://samsungparts.com/products/db92-03310h,<p>Samsung DB92-03310H Assembly Pcb Main-Out</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB92-05092C Assembly Pcb Main,DB92-05092C,302.95,https://samsungparts.com/products/db92-05092c,<p>Samsung DB92-05092C Assembly Pcb Main</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB32-00067D Thermistor-Wire In Pcb,DB32-00067D,47.95,https://samsungparts.com/products/db32-00067d,<p>Samsung DB32-00067D Thermistor-Wire In Pcb</p>,subcate:Air Conditioner;types:Wire;webcat:Wire,Air Conditioner
Samsung DB32-00169A Thermistor,DB32-00169A,116.95,https://samsungparts.com/products/db32-00169a,<p>Samsung DB32-00169A Thermistor</p>,subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB32-10008B Thermistor-Evap,DB32-10008B,30.95,https://samsungparts.com/products/db32-10008b,<p>Samsung DB32-10008B Thermistor-Evap</p>,Not_allowed_to_purchase;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB32-10051H Thermistor-Assembly,DB32-10051H,33.95,https://samsungparts.com/products/db32-10051h,<p>Samsung DB32-10051H Thermistor-Assembly</p>,subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB41-10087A Pcb Remote Control,DB41-10087A,21.95,https://samsungparts.com/products/db41-10087a,<p>Samsung DB41-10087A Pcb Remote Control</p>,subcate:Air Conditioner;types:Circuit Board;webcat:Circuit Board,Air Conditioner
Samsung DB47-20002A Olp-Polyester,DB47-20002A,52.95,https://samsungparts.com/products/db47-20002a,<p>Samsung DB47-20002A Olp-Polyester</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB47-90024A Battery-Mn,DB47-90024A,5.95,https://samsungparts.com/products/db47-90024a,<p>Samsung DB47-90024A Battery-Mn</p>,subcate:Air Conditioner;types:BATTERY;webcat:BATTERY,Air Conditioner
Samsung DB61-00120A Bracket-Pump,DB61-00120A,29.95,https://samsungparts.com/products/db61-00120a,<p>Samsung DB61-00120A Bracket-Pump</p>,NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:BRACKET;webcat:BRACKET,Air Conditioner
Samsung DB61-02894B Door Latch Push,DB61-02894B,36.95,https://samsungparts.com/products/db61-02894b,<p>Samsung DB61-02894B Door Latch Push</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB61-03661A Blade-H,DB61-03661A,105.95,https://samsungparts.com/products/db61-03661a,<p>Samsung DB61-03661A Blade-H</p>,subcate:Air Conditioner;types:BLADE;webcat:BLADE,Air Conditioner
Samsung DB61-03836A Plate-Hanger,DB61-03836A,17.95,https://samsungparts.com/products/db61-03836a,<p>Samsung DB61-03836A Plate-Hanger</p>,gmc;subcate:Air Conditioner;types:Plate;webcat:Plate,Air Conditioner
Samsung DB61-04008A Holder-Cover Corner,DB61-04008A,6.95,https://samsungparts.com/products/db61-04008a,<p>Samsung DB61-04008A Holder-Cover Corner</p>,subcate:Air Conditioner;types:COVER;webcat:COVER,Air Conditioner
Samsung DB61-04729A Hinge-Door,DB61-04729A,47.95,https://samsungparts.com/products/db61-04729a,<p>Samsung DB61-04729A Hinge-Door</p>,subcate:Air Conditioner;types:DOOR;webcat:DOOR,Air Conditioner
Samsung DB61-05872A Guide Blade,DB61-05872A,22.95,https://samsungparts.com/products/db61-05872a,<p>Samsung DB61-05872A Guide Blade</p>,subcate:Air Conditioner;types:GUIDE;webcat:GUIDE,Air Conditioner
Samsung DB61-05854A Case Pcb-Remote Control,DB61-05854A,7.95,https://samsungparts.com/products/db61-05854a,<p>Samsung DB61-05854A Case Pcb-Remote Control</p>,subcate:Air Conditioner;types:CASE;webcat:CASE,Air Conditioner
"Samsung DB61-07076A Hinge Blade-A;Pc4Sufman,Pom,T5",DB61-07076A,11.95,https://samsungparts.com/products/db61-07076a,"<p>Samsung DB61-07076A Hinge Blade-A;Pc4Sufman,Pom,T5</p>",subcate:Air Conditioner;types:HINGE;webcat:HINGE,Air Conditioner
Samsung DB61-07464A Case Power Control Board,DB61-07464A,7.95,https://samsungparts.com/products/db61-07464a,<p>Samsung DB61-07464A Case Power Control Board</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB63-01186E Guard-Air Filter,DB63-01186E,53.95,https://samsungparts.com/products/db63-01186e,<p>Samsung DB63-01186E Guard-Air Filter</p>,subcate:Air Conditioner;types:AIR FILTER;webcat:AIR FILTER,Air Conditioner
Samsung DB63-02144H Filter-Pre R,DB63-02144H,49.95,https://samsungparts.com/products/db63-02144h,<p>Samsung DB63-02144H Filter-Pre R</p>,subcate:Air Conditioner;types:FILTER;webcat:FILTER,Air Conditioner
Samsung DB63-03157A Cover-Display,DB63-03157A,55.95,https://samsungparts.com/products/db63-03157a,<p>Samsung DB63-03157A Cover-Display</p>,subcate:Air Conditioner;types:COVER;webcat:COVER,Air Conditioner
Samsung DB63-03492A Cover Motor,DB63-03492A,20.95,https://samsungparts.com/products/db63-03492a,<p>Samsung DB63-03492A Cover Motor</p>,subcate:Air Conditioner;types:COVER;webcat:COVER,Air Conditioner
"Samsung DB63-04251A Cover-Sensor;Pc4Nb****, 360Cst",DB63-04251A,13.95,https://samsungparts.com/products/db63-04251a,"<p>Samsung DB63-04251A Cover-Sensor;Pc4Nb****, 360Cst</p>",gmc;subcate:Air Conditioner;types:COVER;webcat:COVER,Air Conditioner
Samsung DB63-04224A Cover Panel,DB63-04224A,71.95,https://samsungparts.com/products/db63-04224a,<p>Samsung DB63-04224A Cover Panel</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB64-01077B Knob-Assembly,DB64-01077B,3.95,https://samsungparts.com/products/db64-01077b,<p>Samsung DB64-01077B Knob-Assembly</p>,NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:KNOB;webcat:KNOB,Air Conditioner
Samsung DB64-01764A Cabinet-Cushion,DB64-01764A,6.95,https://samsungparts.com/products/db64-01764a,<p>Samsung DB64-01764A Cabinet-Cushion</p>,subcate:Air Conditioner;types:Cabinet;webcat:Cabinet,Air Conditioner
Samsung DB64-01746A Knob-Slide A,DB64-01746A,7.95,https://samsungparts.com/products/db64-01746a,<p>Samsung DB64-01746A Knob-Slide A</p>,subcate:Air Conditioner;types:KNOB;webcat:KNOB,Air Conditioner
Samsung DB64-01747A Knob-Slide B,DB64-01747A,7.95,https://samsungparts.com/products/db64-01747a,<p>Samsung DB64-01747A Knob-Slide B</p>,subcate:Air Conditioner;types:KNOB;webcat:KNOB,Air Conditioner
Samsung DB65-10014A Clip,DB65-10014A,0.95,https://samsungparts.com/products/db65-10014a,<p>Samsung DB65-10014A Clip</p>,NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:Clip;webcat:Clip,Air Conditioner
Samsung DB66-01730A Link Blade-B,DB66-01730A,6.95,https://samsungparts.com/products/db66-01730a,<p>Samsung DB66-01730A Link Blade-B</p>,subcate:Air Conditioner;types:Blade;webcat:Blade,Air Conditioner
